bin,pkts,bytes,throughput_down,throughput_up,throughput_total,rtt_n,rtt_invalid_n,rtt_mean,rtt_max,rtt_p95,tcp_pkts,retrans_pkts,spurious_pkts,lost_seg_pkts,ooo_pkts,dupack_pkts,retrans_rate,dns_n,dns_mean,dns_max,t_min,rtt_mean_ooc,retrans_rate_ooc,rtt_mean_ooc_baseline,retrans_rate_ooc_baseline
0,6682,6282069,0.4702,0.3674,0.8376,1556,0,128.251,1445.7267,227.2068,3173,12,1,0,0,92,0.3782,15,12.4868,19.0416,0.0,True,False,True,False
1,2770,2496731,0.3003,0.0326,0.3329,167,0,46.5362,1113.7213,151.5683,441,0,0,0,0,1,0.0,8,12.8996,16.9957,1.0,False,False,False,False
2,2173,1996470,0.2494,0.0168,0.2662,99,0,29.0045,227.6816,110.0706,248,0,0,0,0,1,0.0,4,12.6073,14.871,2.0,False,False,False,False
3,68910,76308510,10.0241,0.1504,10.1745,339,0,22.1351,190.5699,58.7408,1088,6,0,0,0,0,0.5515,57,21.4352,99.4135,3.0,False,False,False,False
4,83172,90736120,11.694,0.4042,12.0981,1863,0,39.4634,344.6988,145.0015,29782,78,7,69,163,206,0.2619,192,20.0694,67.1488,4.0,False,False,False,False
5,76230,82544981,10.6617,0.3443,11.006,1457,0,34.3875,327.0712,135.1862,15217,27,3,19,42,45,0.1774,103,15.1352,59.9768,5.0,False,False,False,False
6,30662,32617828,4.2303,0.1188,4.349,419,0,35.068,355.9348,207.4969,5002,4,1,0,0,4,0.08,21,12.7299,21.4946,6.0,False,False,False,False
7,31958,34388678,4.4691,0.1161,4.5852,247,0,22.3524,283.9868,56.0895,3038,1,1,0,0,2,0.0329,14,13.8229,22.2634,7.0,False,False,False,False
8,70452,79287522,10.4163,0.1554,10.5717,254,0,34.4349,298.0754,268.5729,2773,3,2,0,0,3,0.1082,14,15.2013,27.6941,8.0,False,False,False,False
9,22509,22676875,2.8789,0.1446,3.0236,1015,0,21.9975,287.6117,55.7946,15002,133,5,103,540,203,0.8865,82,12.9705,35.6352,9.0,False,False,False,False
10,153410,190273434,25.0636,0.3062,25.3698,1423,0,37.3,1030.7299,250.1436,100805,27324,1,1695,4041,5564,27.1058,165,25.3789,259.0437,10.0,False,True,False,True
11,32934,34620375,4.3809,0.2352,4.6161,1604,1,39.5353,813.3459,175.9232,18708,263,10,89,99,243,1.4058,154,20.219,129.9908,11.0,False,False,False,False
12,10745,9546069,1.1892,0.0836,1.2728,647,0,24.8883,868.6276,57.1235,4008,10,0,1,0,5,0.2495,79,22.7904,224.7362,12.0,False,False,False,False
13,10322,9214609,1.1376,0.091,1.2286,471,0,33.9895,327.5331,163.0495,2474,3,0,0,0,2,0.1213,41,15.2831,26.2569,13.0,False,False,False,False
14,39529,39936169,5.1229,0.2019,5.3248,818,0,24.0293,252.6093,70.2823,7245,3,1,0,0,8,0.0414,99,14.435,26.3253,14.0,False,False,False,False
15,34767,38514786,4.9582,0.1772,5.1353,852,0,27.3554,819.2693,68.4083,14741,41,0,29,127,74,0.2781,100,21.825,238.2704,15.0,False,False,False,False
16,19506,19517845,2.4976,0.1048,2.6024,432,0,38.8222,320.3053,196.5948,4482,1,0,0,0,1,0.0223,36,16.5473,42.9577,16.0,False,False,False,False
17,20244,20323558,2.6101,0.0997,2.7098,492,0,26.4281,326.0853,71.4889,3046,4,1,0,0,5,0.1313,60,22.1697,46.2887,17.0,False,False,False,False
18,42541,45147096,5.8628,0.1568,6.0196,944,0,23.254,312.9875,53.0522,7252,8,2,0,0,9,0.1103,112,16.6125,39.8368,18.0,False,False,False,False
19,29555,28843600,3.6561,0.1898,3.8458,1803,0,29.6598,922.0023,74.5794,14712,81,8,96,497,204,0.5506,152,26.6711,311.0262,19.0,False,False,False,False
20,70253,76282903,9.8866,0.2845,10.1711,691,0,57.8255,333.8987,242.4818,63264,1469,0,1414,356,15247,2.322,64,32.1493,254.7924,20.0,False,False,False,False
21,284378,355576630,46.5153,0.8949,47.4102,2354,0,78.8927,453.3233,258.8414,268901,24992,3,5661,844,40124,9.2941,187,22.712,116.4256,21.0,False,False,True,False
22,133281,156227951,20.2684,0.562,20.8304,1675,0,44.0049,1019.1589,121.0008,125674,13704,4,2784,536,23090,10.9044,100,23.2192,146.8215,22.0,False,False,False,True
23,16491,14378862,1.6769,0.2403,1.9172,1235,0,45.6571,869.3931,184.7465,9410,667,1,6,1,503,7.0882,67,23.1335,109.9705,23.0,False,False,False,False
24,132553,159409194,20.8817,0.3729,21.2546,435,0,54.9403,449.2388,223.1818,126905,9201,0,2790,217,25064,7.2503,27,27.3765,80.8735,24.0,False,False,False,False
25,215765,263872004,34.5003,0.6826,35.1829,1373,0,57.8989,905.0261,213.6562,207149,25366,8,4150,1051,33577,12.2453,111,29.5672,87.5567,25.0,False,False,False,True
26,20001,17761896,2.1504,0.2179,2.3683,1184,0,41.1664,287.1086,177.4081,5584,215,2,0,0,85,3.8503,95,12.1773,46.4021,26.0,False,False,False,False
27,40980,41760581,5.3127,0.2554,5.5681,1141,0,49.9147,310.2291,175.4746,5730,60,0,3,16,57,1.0471,114,18.6221,57.9165,27.0,False,False,False,False
28,54303,60116400,7.8857,0.1298,8.0155,277,0,59.5084,1019.0976,280.323,967,104,1,0,0,33,10.7549,23,29.023,120.7975,28.0,False,False,False,True
29,74363,83616695,11.0011,0.1477,11.1489,370,0,72.3829,955.7133,294.5714,1203,17,4,0,0,15,1.4131,29,23.2559,79.4972,29.0,False,False,True,False
