bin,pkts,bytes,throughput_down,throughput_up,throughput_total,rtt_n,rtt_invalid_n,rtt_mean,rtt_max,rtt_p95,tcp_pkts,retrans_pkts,spurious_pkts,lost_seg_pkts,ooo_pkts,dupack_pkts,retrans_rate,dns_n,dns_mean,dns_max,t_min,rtt_mean_ooc,retrans_rate_ooc,rtt_mean_ooc_baseline,retrans_rate_ooc_baseline
0,34736,40656119,2.6519,2.7689,5.4208,7822,0,308.1944,1643.6747,725.425,18593,732,5,0,0,1589,3.937,65,91.9431,359.4849,0.0,True,False,True,True
1,58696,72750078,5.7092,3.9908,9.7,9914,0,341.5212,1432.9297,555.901,21833,427,6,0,35,1744,1.9558,26,187.3399,359.0254,1.0,True,False,True,True
2,114514,140031979,13.1882,5.4827,18.6709,12809,0,237.9031,1295.9108,458.3073,29307,563,4,3,19,2892,1.921,24,151.0617,347.5304,2.0,False,False,True,True
3,78806,91070962,11.1557,0.9871,12.1428,2346,0,236.8196,1015.8481,390.7564,5198,133,2,0,0,303,2.5587,13,47.0134,187.0308,3.0,False,False,True,True
4,83693,102706328,8.0997,5.5945,13.6942,13426,0,235.3058,1234.6029,477.8267,29461,620,4,0,0,2304,2.1045,24,110.5368,286.6087,4.0,False,False,True,True
5,102460,127048139,11.1559,5.7839,16.9398,13700,1,288.3868,1491.6244,472.8181,30822,685,5,11,1,2633,2.2224,34,282.177,689.7719,5.0,True,False,True,True
6,107400,130313512,11.9215,5.4536,17.3751,12324,1,293.1035,2090.5553,674.8863,30155,1448,13,2,27,3640,4.8019,23,287.265,1095.2123,6.0,True,False,True,True
7,66767,84744840,5.7754,5.5239,11.2993,13285,2,295.3685,1510.5961,587.339,30133,692,6,1,0,2709,2.2965,17,309.1638,660.2752,7.0,True,False,True,True
8,60385,75779697,4.8816,5.2224,10.104,12800,2,374.7763,1660.4671,707.6218,29325,619,6,0,0,2399,2.1108,34,309.2717,664.7329,8.0,True,False,True,True
9,75228,96298329,7.1841,5.6556,12.8398,13944,0,248.4558,2204.6327,468.5516,29594,406,6,1,1,2002,1.3719,24,228.2007,350.3653,9.0,True,False,True,True
10,65366,78529824,7.1098,3.3608,10.4706,7979,0,309.9168,2100.5407,510.1741,19926,502,4,3,0,2243,2.5193,57,127.3326,380.7759,10.0,True,False,True,True
11,13092,12191572,1.5396,0.0859,1.6255,417,0,30.7677,273.127,75.8391,1800,13,0,0,0,1,0.7222,50,14.9177,27.5122,11.0,False,False,False,False
12,92999,104680688,13.7665,0.1909,13.9574,850,0,44.9113,1055.8322,226.6345,4343,89,86,6,0,12,2.0493,93,23.4436,189.2381,12.0,False,False,False,True
13,40738,44785471,5.853,0.1184,5.9714,354,0,42.1616,434.5525,227.1699,1348,1,1,4,0,3,0.0742,46,17.4764,95.748,13.0,False,False,False,False
14,37404,41772882,5.4568,0.113,5.5697,1027,0,30.1874,1040.6331,97.5422,14294,37,6,4,2,42,0.2588,90,32.0256,272.2055,14.0,False,False,False,False
15,76657,86205428,11.3362,0.1578,11.4941,645,0,40.6709,388.2927,243.1068,2462,2,1,0,0,7,0.0812,74,18.2955,315.4864,15.0,False,False,False,False
16,58178,65706016,8.6427,0.1181,8.7608,436,0,35.8445,347.956,193.3488,1630,9,3,1,0,4,0.5521,44,19.2936,51.8502,16.0,False,False,False,False
17,35688,35779757,4.6146,0.156,4.7706,2012,0,30.97,328.6157,101.2027,10707,24,6,2,1,44,0.2242,243,18.4198,65.6554,17.0,False,False,False,False
18,47864,44491898,5.6733,0.2589,5.9323,2854,1,49.8767,1073.3951,250.403,19316,41,8,2,1,47,0.2123,290,20.8556,154.9422,18.0,False,False,False,False
19,49964,51271828,6.5982,0.2381,6.8362,1840,1,41.8031,443.2657,191.9023,20177,166,9,36,126,224,0.8227,148,18.1255,138.3199,19.0,False,False,False,False
20,56166,62179263,8.1406,0.15,8.2906,1019,1,39.5467,339.6714,209.4393,8199,15,0,19,6,48,0.1829,87,26.2913,147.1144,20.0,False,False,False,False
21,45483,51750258,6.7822,0.1178,6.9,871,0,31.6187,331.3332,170.0329,12532,21,3,10,36,33,0.1676,62,19.3997,98.2954,21.0,False,False,False,False
22,127095,145550472,19.1366,0.2701,19.4067,529,0,36.3246,264.0659,132.6659,68172,65,39,40,43,104,0.0953,59,19.3142,74.4407,22.0,False,False,False,False
23,51823,58291008,7.3787,0.3934,7.7721,1496,1,117.7343,523.3178,417.0129,7659,136,9,25,43,201,1.7757,112,15.9903,165.5407,23.0,False,False,True,True
24,17626,19900579,2.3775,0.2759,2.6534,1535,0,90.2418,1017.2292,334.3826,14840,198,15,16,82,225,1.3342,76,20.261,153.7767,24.0,False,False,True,True
25,89355,100584558,13.1717,0.2396,13.4113,439,0,38.7133,260.6379,207.3914,2666,4,2,0,0,6,0.15,90,32.1679,784.1806,25.0,False,False,False,False
26,41033,47907465,6.1797,0.208,6.3877,495,0,111.9882,1114.0663,286.9332,26919,6259,9,337,850,1041,23.2512,56,46.1307,275.1258,26.0,False,True,True,True
27,244847,323092103,41.0517,2.0273,43.0789,4697,3,109.3859,2071.1188,213.0429,225569,84513,73,5988,17213,19586,37.4666,101,60.9407,1136.9479,27.0,False,True,True,True
28,239871,317178374,38.1632,4.1272,42.2904,9628,7,132.4134,2092.2287,268.9041,210672,74317,86,5616,17299,17218,35.2762,35,110.7255,234.071,28.0,False,True,True,True
29,239028,311672527,37.3258,4.2306,41.5563,9639,1,125.7355,1160.6252,215.6867,191389,85644,184,4261,9747,18020,44.7487,37,125.7958,410.4653,29.0,False,True,True,True
